Id, Latitude, Longitude, X, Y
1010945235,39.6147716,52.56484,4409896.20240384,6868955.71077079
1010945289,39.6207914,52.5706735,4410566.32347451,6870021.43152102
1010945363,39.6236596,52.5714569,4410885.61003801,6870164.56153466
1010945455,39.6228058,52.5708341,4410790.56545677,6870050.77351253
1010945503,39.6232282,52.5727474,4410837.58680968,6870400.34615581
1042384968,39.6105751,52.5758416,4409429.05016072,6870965.70952985
1046133457,39.6125697,52.5635779,4409651.08801706,6868725.15676028
1046133538,39.60734,52.5605994,4409068.92047606,6868181.08595547
1046133708,39.6185611,52.5672921,4410318.0476142,6869403.666991
1046133784,39.6284528,52.5699009,4411419.18662128,6869880.27722317
1046133843,39.6240028,52.568573,4410923.81488725,6869637.67525458
1046133950,39.6190938,52.567573,4410377.34750694,6869454.98416495
1046134016,39.6282679,52.5699142,4411398.60364743,6869882.70711682
1046134083,39.6177863,52.5665562,4410231.79727273,6869269.22815732
1046134150,39.6258379,52.5688734,4411128.0972848,6869692.55647559
1046134349,39.6182177,52.566987,4410279.82050106,6869347.92913177
1046134397,39.6286773,52.5694353,4411444.17784696,6869795.21314259
1046134449,39.6149601,52.564948,4409917.18612785,6868975.4399713
1046134739,39.6175354,52.5663876,4410203.86721249,6869238.42756964
1046134826,39.6256046,52.5688868,4411102.1264476,6869695.00458146
1046135112,39.6279245,52.5698741,4411360.37653429,6869875.38089838
1119828117,39.6323286,52.5859961,4411850.63870369,6872821.39249666
1119828118,39.6380643,52.5844297,4412489.13390704,6872535.11272242
1133879034,39.6265225,52.5881396,4411204.3066082,6873213.1613916
1133879143,39.634587,52.5860047,4412102.0426417,6872822.9642858
1133879301,39.6321975,52.586741,4411836.04471845,6872957.53617303
1133879313,39.629826,52.5872691,4411572.05054603,6873054.05721592
1219430569,39.6255713,52.5890873,4411098.41950855,6873386.37927867
1219430580,39.6289356,52.5868989,4411472.93167143,6872986.3954951
1219430620,39.6231501,52.5902112,4410828.89275745,6873591.80737574
1219430623,39.6256752,52.5887403,4411109.98560365,6873322.95517736
1219430627,39.6249018,52.5898387,4411023.89110947,6873523.72069057
1219430630,39.6249417,52.5895329,4411028.33275715,6873467.8260694
1219430632,39.6249352,52.5890636,4411027.60918046,6873382.04741477
1219430634,39.6287173,52.5875613,4411448.63062659,6873107.46322612
1219430636,39.6256687,52.5889572,4411109.26202696,6873362.599751
1219430637,39.6255259,52.5884363,4411093.36560367,6873267.39096159
1219430656,39.6292478,52.5874008,4411507.68561646,6873078.12825836
1219430660,39.6225491,52.5905274,4410761.98974348,6873649.60383176
1219430667,39.6246885,52.5891859,4411000.14666208,6873404.40131999
1219430679,39.6241887,52.5899667,4410944.50918058,6873547.11685505
1219430691,39.6251169,52.5892174,4411047.83593194,6873410.15887728
1219482547,39.6284426,52.575352,4411418.05116247,6870876.24854792
1219482556,39.6288591,52.575982,4411464.41573039,6870991.36396725
1219482560,39.6380974,52.5795217,4412492.81858218,6871638.17908357
1219482564,39.6334793,52.5742422,4411978.73404175,6870673.46673026
1219482571,39.6276948,52.5763637,4411334.80644726,6871061.11010222
1219482575,39.6327278,52.5734384,4411895.07744442,6870526.60022227
1219482591,39.6285121,52.5754486,4411425.78786708,6870893.89947098
1219482606,39.6333513,52.574999,4411964.48514693,6870811.74809516
1219482608,39.6413774,52.5833154,4412857.94651198,6872331.46630454
1345754420,39.6133389,52.587949,4409736.71496938,6873178.3245251
1345754429,39.6167516,52.5905513,4410116.61499561,6873653.97239812
1345754430,39.6150876,52.5898371,4409931.37936293,6873523.42823895
1345754431,39.6203978,52.5923405,4410522.50812294,6873981.01848407
1345754434,39.6157553,52.5904095,4410005.70738693,6873628.05349128
1345754436,39.6139536,52.5866325,4409805.14306037,6872937.70573047
1345754438,39.6168962,52.5906225,4410132.71179397,6873666.98671882
1345754440,39.6162535,52.5900407,4410061.16675724,6873560.64279397
1345754444,39.6126493,52.587757,4409659.94904852,6873143.23192791
1345754446,39.6137227,52.5878689,4409779.43938994,6873163.68431343
1345758753,39.6132748,52.587701,4409729.57939002,6873132.99661617
1345758755,39.6141185,52.5889065,4409823.4996444,6873353.3328828
1345758756,39.6146281,52.5894067,4409880.22805691,6873444.75914249
1352424083,39.6169012,52.5900528,4410133.26839143,6873562.85446995
1352424086,39.6156869,52.5903858,4409998.09313376,6873623.72149603
1352424095,39.6128834,52.5868809,4409686.00894132,6872983.10563677
1352424096,39.6162748,52.5904551,4410063.5378624,6873636.38847611
1352424097,39.6155186,52.5913034,4409979.35806346,6873791.4463731
1352424098,39.6166013,52.5908909,4410099.88367614,6873716.04651204
1352424099,39.6161215,52.5916075,4410046.47258446,6873847.03252138
1375009270,39.6341119,52.5849368,4412049.15475162,6872627.79065302
1375009274,39.6343826,52.5861994,4412079.28893778,6872858.54894389
1375009275,39.6336765,52.5864128,4412000.68624533,6872897.55151998
1375009276,39.6332667,52.5864462,4411955.06751801,6872903.65597044
1375009277,39.6325387,52.5866996,4411874.02692871,6872949.9695283
1375009278,39.6316789,52.5868063,4411778.31443052,6872969.47101616
1375009279,39.6311081,52.5870374,4411714.77326518,6873011.70917268
1375009280,39.6302593,52.5871419,4411620.28528139,6873030.80871547
1375009285,39.616145,52.5906809,4410049.08859249,6873677.66140222
1381646648,39.6205638,52.5890858,4410540.98715841,6873386.10510999
1381646649,39.6174479,52.5899206,4410194.12675705,6873538.69057227
1381646650,39.6532716,52.5793475,4414182.00279938,6871606.34600742
1381646651,39.6530644,52.5794178,4414158.93740088,6871619.19252055
1381646654,39.6472539,52.5813568,4413512.11549963,6871973.53053875
1381646655,39.6469395,52.5814615,4413477.11665173,6871992.6641435
1381646662,39.6398893,52.5838163,4412692.29197773,6872423.00877372
1381646663,39.6397446,52.583865,4412676.18404742,6872431.90904591
1381646693,39.6280699,52.5871234,4411376.56238825,6873027.42745337
1430913761,39.624266,52.5764591,4410953.11417722,6871078.54216315
1430928993,39.6231202,52.570687,4410825.56430467,6870023.8979981
1430928994,39.6281305,52.5703512,4411383.30834939,6869962.54689129
1430928996,39.6236673,52.5701849,4410886.46719809,6869932.16383481
1430929023,39.596819,52.575633,4407897.72811342,6870927.59347403
1430929025,39.5968043,52.5754598,4407896.09171691,6870895.94595734
1430929026,39.5964789,52.5797538,4407859.8683546,6871680.59292619
1430929027,39.5966291,52.5795777,4407876.58854212,6871648.41247604
1430929029,39.5938718,52.5812728,4407569.64731015,6871958.1798289
1430929062,39.6234581,52.5702208,4410863.17916061,6869938.72276505
1430929065,39.625223,52.5703969,4411059.64692991,6869970.89631434
1430929076,39.6261511,52.570374,4411162.96254932,6869966.71246669
1430929085,39.5940617,52.5816893,4407590.78688146,6872034.29405539
1430929093,39.625502,52.5704327,4411090.70506784,6869977.43700634
1430929106,39.6228635,52.5707271,4410796.98859139,6870031.22435301
1430929110,39.6238068,52.5701882,4410901.99626705,6869932.76674461
1430929114,39.6229684,52.5707462,4410808.66600597,6870034.71396582
1430929126,39.6233508,52.5703121,4410851.23457925,6869955.40329995
1430929172,39.5940724,52.5821326,4407591.97800001,6872115.30670643
1430929173,39.5941936,52.5822441,4407605.46992229,6872135.68335439
1430929174,39.5946196,52.5824586,4407652.89202537,6872174.88342004
1430929183,39.594891,52.5824918,4407683.10413517,6872180.95076678
1430929185,39.5953062,52.582413,4407729.32398775,6872166.54996338
1430929186,39.5963362,52.5821522,4407843.98306327,6872118.88860669
1430929187,39.5965507,52.5821392,4407867.86109404,6872116.51285634
1430929188,39.6005666,52.5824332,4408314.90903712,6872170.2415374
1430929189,39.6016469,52.5825433,4408435.16748302,6872190.36247341
1430929191,39.6024302,52.5826216,4408522.36404016,6872204.67194383
1430929192,39.6027338,52.5826874,4408556.16063756,6872216.69703589
1430957770,39.621967,52.5774946,4410697.19066789,6871267.7573944
1430957773,39.6162496,52.5793571,4410060.73261123,6871608.10029533
1430957778,39.6160394,52.5793817,4410037.33325426,6871612.59565987
1430957782,39.6155885,52.5793223,4409987.13929586,6871601.74100348
1430957791,39.6218756,52.577711,4410687.01606643,6871307.30038189
1430962066,39.6196541,52.5853542,4410439.71981763,6872704.07576097
1430962073,39.6206542,52.5833404,4410551.05044038,6872336.03517906
1430962109,39.6205452,52.583619,4410538.91661588,6872386.95089384
1430962126,39.6203414,52.5836386,4410516.22970366,6872390.53291618
1431182732,39.5940278,52.5655781,4407587.01315072,6869090.54621535
1431182793,39.5897068,52.5631522,4407106.001631,6868647.39355243
1431183062,39.5890329,52.5627739,4407030.98342615,6868578.28960461
1431183093,39.5911103,52.5639401,4407262.23853633,6868791.32093248
1431183113,39.6038097,52.5756027,4408675.92927771,6870922.05697676
